nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
Epoch 96, lr 0.224107
13:05:59 train - loss: 0.1402, acc: 0.9516
Epoch 97, lr 0.220906
13:07:11 train - loss: 0.1367, acc: 0.9530
Epoch 98, lr 0.217699
13:08:23 train - loss: 0.1335, acc: 0.9542
Epoch 99, lr 0.214487
13:09:35 train - loss: 0.1320, acc: 0.9558
Epoch 100, lr 0.211272
13:10:47 train - loss: 0.1307, acc: 0.9561
13:10:53 valid - loss: 0.3585, acc: 0.8923
Epoch 101, lr 0.208053
13:12:05 train - loss: 0.1261, acc: 0.9576
Epoch 102, lr 0.204833
13:13:17 train - loss: 0.1288, acc: 0.9561
Epoch 103, lr 0.201611
13:14:29 train - loss: 0.1206, acc: 0.9596
Epoch 104, lr 0.198389
13:15:41 train - loss: 0.1251, acc: 0.9575
Epoch 105, lr 0.195167
13:16:53 train - loss: 0.1197, acc: 0.9598
13:16:59 valid - loss: 0.8061, acc: 0.8002
Epoch 106, lr 0.191947
13:18:11 train - loss: 0.1218, acc: 0.9578
Epoch 107, lr 0.188728
13:19:23 train - loss: 0.1206, acc: 0.9590
Epoch 108, lr 0.185513
13:20:35 train - loss: 0.1142, acc: 0.9623
Epoch 109, lr 0.182301
13:21:47 train - loss: 0.1089, acc: 0.9630
Epoch 110, lr 0.179094
13:23:00 train - loss: 0.1086, acc: 0.9630
13:23:05 valid - loss: 0.3773, acc: 0.8909
Epoch 111, lr 0.175893
13:24:17 train - loss: 0.1145, acc: 0.9616
Epoch 112, lr 0.172697
13:25:29 train - loss: 0.1043, acc: 0.9645
Epoch 113, lr 0.169509
13:26:41 train - loss: 0.1044, acc: 0.9653
Epoch 114, lr 0.166329
13:27:54 train - loss: 0.1042, acc: 0.9643
Epoch 115, lr 0.163157
13:29:06 train - loss: 0.0977, acc: 0.9661
13:29:11 valid - loss: 0.5815, acc: 0.8494
Epoch 116, lr 0.159995
13:30:23 train - loss: 0.0963, acc: 0.9679
Epoch 117, lr 0.156843
13:31:35 train - loss: 0.1018, acc: 0.9646
Epoch 118, lr 0.153703
13:32:48 train - loss: 0.0943, acc: 0.9686
Epoch 119, lr 0.150574
13:34:00 train - loss: 0.0884, acc: 0.9703
Epoch 120, lr 0.147459
13:35:12 train - loss: 0.0903, acc: 0.9699
13:35:17 valid - loss: 0.3982, acc: 0.8934
Epoch 121, lr 0.144357
13:36:29 train - loss: 0.0861, acc: 0.9710
Epoch 122, lr 0.141269
13:37:42 train - loss: 0.0868, acc: 0.9699
Epoch 123, lr 0.138197
13:38:54 train - loss: 0.0845, acc: 0.9719
Epoch 124, lr 0.135140
13:40:06 train - loss: 0.0839, acc: 0.9712
Epoch 125, lr 0.132101
13:41:18 train - loss: 0.0755, acc: 0.9747
13:41:23 valid - loss: 0.4433, acc: 0.8827
Epoch 126, lr 0.129079
13:42:35 train - loss: 0.0780, acc: 0.9733
Epoch 127, lr 0.126076
13:43:47 train - loss: 0.0759, acc: 0.9743
Epoch 128, lr 0.123091
13:44:59 train - loss: 0.0744, acc: 0.9746
Epoch 129, lr 0.120127
13:46:11 train - loss: 0.0712, acc: 0.9764
Epoch 130, lr 0.117184
13:47:23 train - loss: 0.0736, acc: 0.9750
13:47:29 valid - loss: 0.3125, acc: 0.9097
Epoch 131, lr 0.114261
13:48:41 train - loss: 0.0694, acc: 0.9772
Epoch 132, lr 0.111362
13:49:53 train - loss: 0.0603, acc: 0.9800
Epoch 133, lr 0.108485
13:51:05 train - loss: 0.0634, acc: 0.9789
Epoch 134, lr 0.105632
13:52:17 train - loss: 0.0603, acc: 0.9801
Epoch 135, lr 0.102803
13:53:29 train - loss: 0.0612, acc: 0.9790
13:53:35 valid - loss: 0.3474, acc: 0.9069
Epoch 136, lr 0.100000
13:54:47 train - loss: 0.0584, acc: 0.9806
Epoch 137, lr 0.097223
13:56:00 train - loss: 0.0558, acc: 0.9821
Epoch 138, lr 0.094472
13:57:12 train - loss: 0.0535, acc: 0.9829
Epoch 139, lr 0.091749
13:58:24 train - loss: 0.0525, acc: 0.9833
Epoch 140, lr 0.089053
13:59:36 train - loss: 0.0476, acc: 0.9841
13:59:41 valid - loss: 0.3810, acc: 0.9055
Epoch 141, lr 0.086387
14:00:54 train - loss: 0.0501, acc: 0.9837
Epoch 142, lr 0.083750
14:02:06 train - loss: 0.0435, acc: 0.9856
Epoch 143, lr 0.081143
14:03:17 train - loss: 0.0477, acc: 0.9845
Epoch 144, lr 0.078567
14:04:29 train - loss: 0.0443, acc: 0.9857
Epoch 145, lr 0.076023
14:05:42 train - loss: 0.0405, acc: 0.9869
14:05:47 valid - loss: 0.2916, acc: 0.9210
Epoch 146, lr 0.073511
14:06:59 train - loss: 0.0370, acc: 0.9881
Epoch 147, lr 0.071032
14:08:11 train - loss: 0.0351, acc: 0.9891
Epoch 148, lr 0.068586
14:09:24 train - loss: 0.0310, acc: 0.9903
Epoch 149, lr 0.066174
14:10:36 train - loss: 0.0364, acc: 0.9888
Epoch 150, lr 0.063797
14:11:48 train - loss: 0.0293, acc: 0.9907
14:11:54 valid - loss: 0.2639, acc: 0.9287
Epoch 151, lr 0.061455
14:13:06 train - loss: 0.0273, acc: 0.9910
Epoch 152, lr 0.059149
14:14:18 train - loss: 0.0268, acc: 0.9917
Epoch 153, lr 0.056880
14:15:30 train - loss: 0.0255, acc: 0.9922
Epoch 154, lr 0.054648
14:16:43 train - loss: 0.0199, acc: 0.9942
Epoch 155, lr 0.052454
14:17:55 train - loss: 0.0201, acc: 0.9939
14:18:00 valid - loss: 0.2792, acc: 0.9266
Epoch 156, lr 0.050298
14:19:13 train - loss: 0.0208, acc: 0.9938
Epoch 157, lr 0.048181
14:20:25 train - loss: 0.0248, acc: 0.9923
Epoch 158, lr 0.046103
14:21:37 train - loss: 0.0192, acc: 0.9941
Epoch 159, lr 0.044065
14:22:49 train - loss: 0.0167, acc: 0.9951
Epoch 160, lr 0.042068
14:24:01 train - loss: 0.0152, acc: 0.9958
14:24:07 valid - loss: 0.2321, acc: 0.9411
Epoch 161, lr 0.040111
14:25:19 train - loss: 0.0089, acc: 0.9977
Epoch 162, lr 0.038197
14:26:31 train - loss: 0.0134, acc: 0.9960
Epoch 163, lr 0.036324
14:27:44 train - loss: 0.0113, acc: 0.9969
Epoch 164, lr 0.034493
14:28:55 train - loss: 0.0085, acc: 0.9979
Epoch 165, lr 0.032706
14:30:07 train - loss: 0.0067, acc: 0.9983
14:30:13 valid - loss: 0.2187, acc: 0.9460
Epoch 166, lr 0.030962
14:31:25 train - loss: 0.0063, acc: 0.9984
Epoch 167, lr 0.029262
14:32:37 train - loss: 0.0053, acc: 0.9988
Epoch 168, lr 0.027606
14:33:49 train - loss: 0.0051, acc: 0.9989
Epoch 169, lr 0.025995
14:35:02 train - loss: 0.0037, acc: 0.9994
Epoch 170, lr 0.024429
14:36:14 train - loss: 0.0040, acc: 0.9991
14:36:19 valid - loss: 0.2110, acc: 0.9522
Epoch 171, lr 0.022909
14:37:32 train - loss: 0.0030, acc: 0.9995
Epoch 172, lr 0.021434
14:38:44 train - loss: 0.0020, acc: 0.9998
Epoch 173, lr 0.020006
14:39:56 train - loss: 0.0018, acc: 0.9999
Epoch 174, lr 0.018625
14:41:08 train - loss: 0.0018, acc: 0.9998
Epoch 175, lr 0.017291
14:42:20 train - loss: 0.0018, acc: 0.9999
14:42:26 valid - loss: 0.1876, acc: 0.9552
Epoch 176, lr 0.016004
14:43:37 train - loss: 0.0017, acc: 0.9999
Epoch 177, lr 0.014765
14:44:49 train - loss: 0.0014, acc: 1.0000
Epoch 178, lr 0.013574
14:46:01 train - loss: 0.0013, acc: 1.0000
Epoch 179, lr 0.012432
14:47:13 train - loss: 0.0015, acc: 1.0000
Epoch 180, lr 0.011338
